I/V Sweep,I/V Sweep (2-point)_Julia
RecordTime,07/09/2025 11:55:22
Device ID,
Count,73
Flag,
Remarks,
V_bias,I_Source,V1,I1,I2
-1,-0.00077249400000000009,,,
-0.98000000000000009,-0.000757643,,,
-0.96000000000000008,-0.0007427060000000001,,,
-0.94000000000000006,-0.0007283420000000001,,,
-0.92,-0.000713863,,,
-0.9,-0.00069922800000000009,,,
-0.88,-0.000684434,,,
-0.86,-0.00066949500000000009,,,
-0.84000000000000008,-0.000655073,,,
-0.82000000000000006,-0.00064066200000000007,,,
-0.8,-0.00062576700000000005,,,
-0.78,-0.000610911,,,
-0.76,-0.000596121,,,
-0.74,-0.000581524,,,
-0.72000000000000008,-0.000567076,,,
-0.70000000000000007,-0.000552009,,,
-0.68,-0.000537031,,,
-0.66,-0.00052234900000000008,,,
-0.64,-0.000507628,,,
-0.62,-0.000492937,,,
-0.6,-0.000477869,,,
-0.58000000000000007,-0.000462634,,,
-0.56,-0.000448015,,,
-0.54,-0.000433293,,,
-0.52,-0.000418226,,,
-0.5,-0.00040313400000000003,,,
-0.48000000000000004,-0.00038789900000000003,,,
-0.46,-0.000373099,,,
-0.44,-0.00035834200000000005,,,
-0.42000000000000004,-0.00034301400000000005,,,
-0.4,-0.000327749,,,
-0.38,-0.000312483,,,
-0.36000000000000004,-0.00029743900000000004,,,
-0.34,-0.00028240400000000004,,,
-0.32,-0.00026695800000000003,,,
-0.3,-0.000251502,,,
-0.28,-0.000235893,,,
-0.26,-0.000220675,,,
-0.24000000000000002,-0.000205419,,,
-0.22,-0.00018954300000000003,,,
-0.2,-0.00017359800000000001,,,
-0.18000000000000002,-0.00015765600000000002,,,
-0.16,-0.00014167200000000002,,,
-0.14,-0.00012558,,,
-0.12000000000000001,-0.000108645,,,
-0.1,-9.16345E-05,,,
-0.08,-7.37941E-05,,,
-0.060000000000000005,-5.59296E-05,,,
-0.04,-3.77707E-05,,,
-0.02,-1.93864E-05,,,
0,2.89056E-07,,,
0.02,1.91803E-05,,,
0.04,3.85165E-05,,,
0.060000000000000005,5.6817900000000004E-05,,,
0.08,7.4758E-05,,,
0.1,9.27961E-05,,,
0.12000000000000001,0.0001104238,,,
0.14,0.000127441,,,
0.16,0.000143926,,,
0.18000000000000002,0.000160826,,,
0.2,0.000177524,,,
0.22,0.00019376200000000002,,,
0.24000000000000002,0.000209855,,,
0.26,0.00022574900000000002,,,
0.28,0.000241978,,,
0.3,0.00025827200000000004,,,
0.32,0.00027385500000000004,,,
0.34,0.00028947,,,
0.36000000000000004,0.000305238,,,
0.38,0.000321053,,,
0.4,0.00033697500000000005,,,
0.42000000000000004,0.000352243,,,
0.44,0.00036748900000000003,,,
0.46,0.00038323400000000004,,,
0.48000000000000004,0.00039886,,,
0.5,0.00041432400000000004,,,
0.52,0.00042962,,,
0.54,0.000444716,,,
0.56,0.00046036400000000005,,,
0.58000000000000007,0.00047601800000000004,,,
0.6,0.00049111,,,
0.62,0.000506285,,,
0.64,0.000521424,,,
0.66,0.000536839,,,
0.68,0.00055239200000000007,,,
0.70000000000000007,0.00056733400000000007,,,
0.72000000000000008,0.00058227000000000007,,,
0.74,0.00059763300000000008,,,
0.76,0.000612922,,,
0.78,0.000628242,,,
0.8,0.000643191,,,
0.82000000000000006,0.000657983,,,
0.84000000000000008,0.000673393,,,
0.86,0.000688707,,,
0.88,0.00070374400000000007,,,
0.9,0.00071872800000000008,,,
0.92,0.000733552,,,
0.94000000000000006,0.000748823,,,
0.96000000000000008,0.000764171,,,
0.98000000000000009,0.00077901300000000006,,,
1,0.00079393700000000009,,,
